	count	mean	std	min	25%	50%	75%	max
SRR3383640	27655.0	4.919338996809231	3.791072442387742	0.0	0.0	5.7279204545632005	8.139551352398794	17.227296295103052
SRR3383821	27655.0	5.118317463224261	3.943576312846421	0.0	0.0	5.954196310386875	8.459431618637296	17.17939402746687
SRR3383782	27655.0	5.701391209902577	4.242752919097511	0.0	1.0	6.7414669864011465	9.247927513443585	19.33362053397145
SRR6283145	27655.0	5.307407306326486	4.182176471984373	0.0	0.0	6.189824558880018	8.912889336229961	17.106450481091255
SRR3383641	27655.0	5.6200377131937085	4.2069014702594725	0.0	0.0	6.7279204545632005	9.197216693110052	18.265074740410657
SRR3383783	27655.0	4.941991419748094	3.8915038468000707	0.0	0.0	5.7004397181410935	8.247927513443585	18.26820844450981
SRR3383822	27655.0	4.671514512940085	3.705816778099094	0.0	0.0	5.357552004618084	7.813781191217037	16.795786019502007
SRR6283144	27655.0	5.269930743616318	4.197586969773496	0.0	0.0	6.0	8.876516946565	18.067208501808
SRR364399	27655.0	4.75029461089433	3.709542434517706	0.0	0.0	5.28540221886225	7.8548650182718145	16.12218090125975
SRR6283148	27655.0	3.061983132419056	3.3298933121980028	0.0	0.0	2.0	5.584962500721158	16.665294274755347
SRR6283147	27655.0	3.122717909444594	3.3710681453069475	0.0	0.0	2.0	5.672425341971495	16.79607764338467
SRR3383696	27655.0	5.009321182175393	3.8832341111492523	0.0	0.0	5.857980995127572	8.303780748177102	17.584786379736883
SRR3383780	27655.0	5.013277490013133	3.9334165213748378	0.0	0.0	5.807354922057604	8.39231742277876	17.338092178481546
SRR10586397pe	27655.0	5.861618395852456	3.989993843490718	0.0	1.584962500721156	6.794415866350106	9.108524456778168	17.46549466363738
SRR10586399pe	27655.0	5.807581742515993	3.984069684187342	0.0	1.584962500721156	6.7004397181410935	9.060695931687556	17.605956903531055
SRR3383779	27655.0	4.723590676826614	3.7481006476496654	0.0	0.0	5.426264754702097	7.90086680798075	17.30761885400159
SRR3383697	27655.0	5.183563929907964	3.985064887029906	0.0	0.0	6.108524456778167	8.554588851677638	17.972749860653227
SRR364390	27655.0	4.96057404796627	3.7914777994860214	0.0	0.0	5.78135971352466	8.167415964059	17.189023396772658
SRR364389	27655.0	4.978140600059208	3.7955198257345724	0.0	0.0	5.807354922057604	8.18734995089415	17.207900856629784
SRR364398	27655.0	4.748695734472369	3.7099003586476047	0.0	0.0	5.28540221886225	7.845490050944375	16.12724876816099
