	Genes	Counts	log2_value
0	AT1G01010	77	6.266786540694901
1	AT1G01020	176	7.459431618637297
2	AT1G01030	21	4.392317422778761
3	AT1G01040	2542	11.311748315004959
4	AT1G01050	1532	10.581200581924957
5	AT1G01060	12	3.584962500721156
6	AT1G01070	40	5.321928094887363
7	AT1G01080	1281	10.323054760341646
8	AT1G01090	5080	12.310612781659529
9	AT1G01100	1459	10.510764167917891
10	AT1G01110	9	3.169925001442312
11	AT1G01120	481	8.909893083770042
12	AT1G01130	22	4.459431618637297
13	AT1G01140	3532	11.786269627648466
14	AT1G01150	1	0.0
15	AT1G01160	950	9.89178370321831
16	AT1G01170	2074	11.018200178813226
17	AT1G01180	652	9.348728154231077
18	AT1G01190	2	1.0
19	AT1G01200	2	1.0
20	AT1G01210	165	7.366322214245816
21	AT1G01220	579	9.177419537989236
22	AT1G01225	7	2.807354922057604
23	AT1G01230	518	9.016808287686555
24	AT1G01240	810	9.661778097771988
25	AT1G01250	11	3.4594316186372973
26	AT1G01260	339	8.405141463136344
27	AT1G01280	1	0.0
28	AT1G01290	275	8.103287808412022
29	AT1G01300	1230	10.264442600226602
30	AT1G01305	1	0.0
31	AT1G01310	28	4.807354922057604
32	AT1G01320	12021	13.553269295151955
33	AT1G01335	1	0.0
34	AT1G01340	872	9.768184324776927
35	AT1G01350	532	9.055282435501189
36	AT1G01355	6	2.584962500721156
37	AT1G01360	330	8.366322214245816
38	AT1G01370	2	1.0
39	AT1G01380	4	2.0
40	AT1G01390	221	7.787902559391432
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	148	7.20945336562895
44	AT1G01430	910	9.829722735086058
45	AT1G01440	459	8.842350343413807
46	AT1G01450	612	9.257387842692651
47	AT1G01453	2	1.0
48	AT1G01460	1	0.0
49	AT1G01470	1161	10.181152256865566
50	AT1G01480	2	1.0
51	AT1G01490	3634	11.827342704234116
52	AT1G01500	263	8.038918989292302
53	AT1G01510	532	9.055282435501189
54	AT1G01520	4	2.0
55	AT1G01530	1	0.0
56	AT1G01540	2068	11.014020470314934
57	AT1G01550	4973	12.279900715802762
58	AT1G01560	27	4.754887502163468
59	AT1G01570	16	4.0
60	AT1G01580	21	4.392317422778761
61	AT1G01590	8	3.0
62	AT1G01600	6	2.584962500721156
63	AT1G01610	789	9.623881490013458
64	AT1G01620	3034	11.567005370247033
65	AT1G01630	337	8.396604781181859
66	AT1G01640	82	6.357552004618084
67	AT1G01650	1220	10.252665432450248
68	AT1G01660	38	5.247927513443585
69	AT1G01670	86	6.426264754702098
70	AT1G01680	16	4.0
71	AT1G01690	21	4.392317422778761
72	AT1G01695	6	2.584962500721156
73	AT1G01700	42	5.392317422778761
74	AT1G01710	1070	10.06339508128851
75	AT1G01715	48	5.584962500721156
76	AT1G01720	538	9.071462362556623
77	AT1G01725	243	7.924812503605781
78	AT1G01730	762	9.573647187493322
79	AT1G01740	156	7.285402218862249
80	AT1G01750	34	5.087462841250339
81	AT1G01760	84	6.392317422778761
82	AT1G01770	1392	10.442943495848729
83	AT1G01780	474	8.888743248898258
84	AT1G01790	2756	11.428360172704291
85	AT1G01800	1458	10.509775004326936
86	AT1G01810	8	3.0
87	AT1G01820	2821	11.461990950585571
88	AT1G01830	427	8.73809225962049
89	AT1G01840	2	1.0
90	AT1G01860	427	8.73809225962049
91	AT1G01880	12	3.584962500721156
92	AT1G01900	15	3.9068905956085187
93	AT1G01910	767	9.583082767502933
94	AT1G01920	535	9.06339508128851
95	AT1G01930	410	8.679480099505446
96	AT1G01940	149	7.219168520462161
97	AT1G01950	408	8.672425341971495
98	AT1G01960	2469	11.269711121142782
99	AT1G01970	433	8.758223214726724
100	AT1G01980	1	0.0
101	AT1G01990	699	9.449148645375436
102	AT1G02000	256	8.0
103	AT1G02010	344	8.426264754702098
104	AT1G02020	579	9.177419537989236
105	AT1G02030	3	1.584962500721156
106	AT1G02040	1	0.0
107	AT1G02050	510	8.994353436858859
108	AT1G02060	574	9.164906926675688
109	AT1G02065	4	2.0
110	AT1G02067	1	0.0
111	AT1G02070	6	2.584962500721156
112	AT1G02080	3251	11.666667840690355
113	AT1G02090	365	8.51175265376738
114	AT1G02100	1370	10.419960177847889
115	AT1G02110	585	9.192292814470767
116	AT1G02120	3178	11.63390340934852
117	AT1G02130	577	9.172427508645482
118	AT1G02140	1077	10.072802534544207
119	AT1G02145	504	8.977279923499916
120	AT1G02150	2936	11.519636252843213
121	AT1G02160	309	8.271463027904375
122	AT1G02170	806	9.654636028527968
123	AT1G02180	8	3.0
124	AT1G02190	1	0.0
125	AT1G02205	6	2.584962500721156
126	AT1G02210	1	0.0
127	AT1G02220	19	4.247927513443585
128	AT1G02230	2	1.0
129	AT1G02250	1	0.0
130	AT1G02260	719	9.489847960439297
131	AT1G02270	313	8.290018846932618
132	AT1G02280	2200	11.103287808412022
133	AT1G02290	120	6.906890595608519
134	AT1G02300	966	9.915879378835774
135	AT1G02305	4432	12.113742166049189
136	AT1G02310	1	0.0
137	AT1G02320	1	0.0
138	AT1G02330	419	8.710806433699352
139	AT1G02335	24	4.584962500721156
140	AT1G02340	5	2.321928094887362
141	AT1G02350	18	4.169925001442312
142	AT1G02360	80	6.321928094887363
143	AT1G02370	195	7.60733031374961
144	AT1G02380	19	4.247927513443585
145	AT1G02390	13	3.700439718141092
146	AT1G02400	113	6.820178962415188
147	AT1G02405	7	2.807354922057604
148	AT1G02410	203	7.6653359171851765
149	AT1G02420	78	6.285402218862249
150	AT1G02430	24	4.584962500721156
151	AT1G02440	2	1.0
152	AT1G02450	1	0.0
153	AT1G02460	46	5.523561956057013
154	AT1G02470	221	7.787902559391432
155	AT1G02475	1375	10.425215903299383
156	AT1G02490	1	0.0
157	AT1G02500	6495	12.665113810335244
158	AT1G02510	1	0.0
159	AT1G02520	16	4.0
160	AT1G02530	5	2.321928094887362
161	AT1G02540	1	0.0
162	AT1G02550	1	0.0
163	AT1G02560	4174	12.027214885159834
164	AT1G02570	1	0.0
165	AT1G02575	1	0.0
166	AT1G02580	3	1.584962500721156
167	AT1G02590	1	0.0
168	AT1G02610	241	7.912889336229962
169	AT1G02620	74	6.20945336562895
170	AT1G02630	1	0.0
171	AT1G02640	666	9.379378367071261
172	AT1G02650	76	6.247927513443585
173	AT1G02660	795	9.634811050171718
174	AT1G02670	27	4.754887502163468
175	AT1G02680	273	8.092757140919852
176	AT1G02690	89	6.475733430966398
177	AT1G02700	38	5.247927513443585
178	AT1G02705	1	0.0
179	AT1G02710	1	0.0
180	AT1G02720	70	6.129283016944966
181	AT1G02730	8	3.0
182	AT1G02740	167	7.383704292474052
183	AT1G02750	287	8.164906926675688
184	AT1G02770	1	0.0
185	AT1G02780	6146	12.585432051592962
186	AT1G02790	1	0.0
187	AT1G02800	3	1.584962500721156
188	AT1G02810	1	0.0
189	AT1G02813	1	0.0
190	AT1G02816	299	8.224001674198105
191	AT1G02820	5	2.321928094887362
192	AT1G02830	1	0.0
193	AT1G02840	4538	12.147840893672337
194	AT1G02850	1383	10.433585441150495
195	AT1G02860	393	8.618385502258606
196	AT1G02870	506	8.98299357469431
197	AT1G02880	190	7.569855608330948
198	AT1G02890	4282	12.06406908038551
199	AT1G02900	55	5.78135971352466
200	AT1G02910	1147	10.163649676015824
201	AT1G02920	1956	10.933690654952233
202	AT1G02930	1889	10.88340698638837
203	AT1G02940	2	1.0
204	AT1G02950	25	4.643856189774724
205	AT1G02960	732	9.515699838284043
206	AT1G02965	1	0.0
207	AT1G02970	1	0.0
208	AT1G02980	1	0.0
209	AT1G02990	422	8.721099188707186
210	AT1G03000	739	9.52943055414615
211	AT1G03010	159	7.312882955284356
212	AT1G03020	8	3.0
213	AT1G03030	301	8.233619676759702
214	AT1G03040	872	9.768184324776927
215	AT1G03050	1	0.0
216	AT1G03055	6	2.584962500721156
217	AT1G03060	2127	11.054604317960672
218	AT1G03070	2	1.0
219	AT1G03080	2749	11.424691191512954
220	AT1G03090	20557	14.327342118744745
221	AT1G03100	54	5.754887502163468
222	AT1G03103	1	0.0
223	AT1G03106	1	0.0
224	AT1G03110	75	6.22881869049588
225	AT1G03120	1	0.0
226	AT1G03130	1881	10.877284133523196
227	AT1G03140	1848	10.851749041416058
228	AT1G03150	319	8.31741261376487
229	AT1G03160	1459	10.510764167917891
230	AT1G03165	26	4.700439718141092
231	AT1G03170	8	3.0
232	AT1G03180	8	3.0
233	AT1G03190	247	7.948367231584678
234	AT1G03200	233	7.86418614465428
235	AT1G03210	903	9.818582177480858
236	AT1G03220	240	7.906890595608519
237	AT1G03230	109	6.768184324776926
238	AT1G03240	1	0.0
239	AT1G03250	377	8.558420713268664
240	AT1G03260	162	7.339850002884624
241	AT1G03270	47	5.554588851677638
242	AT1G03280	772	9.59245703726808
243	AT1G03290	1289	10.332036548361652
244	AT1G03300	138	7.108524456778169
245	AT1G03310	179	7.483815777264256
246	AT1G03320	4	2.0
247	AT1G03325	1	0.0
248	AT1G03330	354	8.467605550082997
249	AT1G03340	8	3.0
250	AT1G03350	865	9.756556322524087
251	AT1G03360	167	7.383704292474052
252	AT1G03365	627	9.29232163280204
253	AT1G03370	1039	10.020979938904212
254	AT1G03380	1733	10.75905593916017
255	AT1G03390	2	1.0
256	AT1G03395	1	0.0
257	AT1G03400	1062	10.052568050804153
258	AT1G03410	332	8.375039431346925
259	AT1G03430	157	7.294620748891627
260	AT1G03440	355	8.471675214392045
261	AT1G03445	1	0.0
262	AT1G03457	120	6.906890595608519
263	AT1G03470	361	8.49585502688717
264	AT1G03475	2378	11.215532999745657
265	AT1G03490	1	0.0
266	AT1G03495	142	7.149747119504682
267	AT1G03510	30	4.906890595608519
268	AT1G03520	557	9.121533517340032
269	AT1G03530	460	8.845490050944376
270	AT1G03540	42	5.392317422778761
271	AT1G03550	789	9.623881490013458
272	AT1G03560	336	8.39231742277876
273	AT1G03590	666	9.379378367071261
274	AT1G03600	2550	11.31628153174622
275	AT1G03610	715	9.481799431665753
276	AT1G03620	68	6.087462841250339
277	AT1G03630	341	8.413627929024173
278	AT1G03650	132	7.044394119358453
279	AT1G03660	2	1.0
280	AT1G03670	2	1.0
281	AT1G03680	4216	12.041659151637214
282	AT1G03687	155	7.2761244052742375
283	AT1G03700	1	0.0
284	AT1G03710	2	1.0
285	AT1G03720	1	0.0
286	AT1G03730	135	7.076815597050831
287	AT1G03740	2548	11.3151495622563
288	AT1G03750	228	7.832890014164741
289	AT1G03760	549	9.100662339005199
290	AT1G03770	88	6.459431618637297
291	AT1G03780	3	1.584962500721156
292	AT1G03790	4	2.0
293	AT1G03800	8	3.0
294	AT1G03810	1	0.0
295	AT1G03820	11	3.4594316186372973
296	AT1G03830	176	7.459431618637297
297	AT1G03840	5	2.321928094887362
298	AT1G03850	66	6.044394119358453
299	AT1G03860	1020	9.994353436858859
300	AT1G03870	1331	10.378294855911891
301	AT1G03880	1	0.0
302	AT1G03890	1	0.0
303	AT1G03900	2760	11.430452551665532
304	AT1G03905	52	5.700439718141092
305	AT1G03910	1659	10.696098170955864
306	AT1G03920	2	1.0
307	AT1G03930	976	9.930737337562887
308	AT1G03940	67	6.066089190457772
309	AT1G03950	423	8.72451385311995
310	AT1G03960	250	7.965784284662087
