	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
120	122	123	124	127	136	AT1G02310	0.0	1.0	1.584962500721156	0.0	2.0	1.584962500721156	0.0	1.0	3
213	218	220	224	231	255	AT1G03390	0.0	1.584962500721156	0.0	1.0	1.584962500721156	1.0	0.0	1.0	3
235	241	243	247	254	280	AT1G03670	0.0	1.0	1.584962500721156	1.0	0.0	2.0	0.0	3.0	3
273	280	282	287	294	326	AT1G04110	2.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	3
297	304	306	312	319	352	AT1G04380	2.3219280948873617	1.584962500721156	2.0	0.0	3.169925001442312	2.3219280948873617	0.0	0.0	3
390	399	405	413	422	471	AT1G05440	2.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	3
393	403	409	417	426	475	AT1G05490	1.584962500721156	2.0	2.3219280948873617	0.0	1.584962500721156	2.584962500721156	0.0	0.0	3
450	461	470	481	492	553	AT1G06148	1.0	0.0	1.0	2.584962500721156	0.0	1.584962500721156	0.0	1.584962500721156	3
465	476	485	496	507	575	AT1G06360	5.614709844115208	0.0	5.20945336562895	0.0	2.584962500721156	3.0	3.0	0.0	3
482	493	503	514	525	593	AT1G06540	2.584962500721156	1.0	3.0	0.0	3.169925001442312	0.0	1.0	0.0	3
493	504	514	525	536	604	AT1G06660	2.0	2.3219280948873617	3.0	0.0	1.0	0.0	0.0	1.0	3
502	513	523	534	545	613	AT1G06750	1.0	0.0	1.584962500721156	0.0	1.0	1.0	0.0	1.584962500721156	3
508	519	529	540	551	619	AT1G06810	0.0	1.0	0.0	1.0	2.0	1.0	1.584962500721156	0.0	3
692	704	715	730	750	841	AT1G08860	2.584962500721156	2.3219280948873617	2.3219280948873617	0.0	3.700439718141092	0.0	2.3219280948873617	0.0	3
804	819	833	850	875	978	AT1G10100	2.0	0.0	0.0	1.0	2.0	0.0	1.584962500721156	2.3219280948873617	3
848	863	879	898	924	1031	AT1G10586	1.584962500721156	0.0	1.584962500721156	0.0	1.0	1.0	0.0	1.584962500721156	3
925	942	959	980	1009	1132	AT1G11500	1.0	1.584962500721156	0.0	1.0	1.0	0.0	0.0	1.584962500721156	3
960	977	994	1018	1050	1184	AT1G11925	1.0	0.0	0.0	5.169925001442311	1.0	0.0	1.0	4.0	3
1008	1026	1043	1069	1103	1245	AT1G12490	1.584962500721156	0.0	1.584962500721156	1.0	2.0	0.0	1.0	0.0	3
1019	1039	1056	1083	1118	1264	AT1G12672	1.0	2.0	2.0	0.0	0.0	1.0	1.584962500721156	0.0	3
1071	1094	1111	1139	1175	1330	AT1G13310	3.700439718141092	2.3219280948873617	0.0	1.584962500721156	3.4594316186372973	0.0	2.3219280948873617	0.0	3
1087	1111	1128	1156	1192	1352	AT1G13520	1.0	0.0	2.0	3.0	1.0	0.0	0.0	2.807354922057604	3
1094	1118	1136	1166	1203	1364	AT1G13609	7.011227255423254	1.0	5.643856189774724	0.0	6.8826430493618425	5.523561956057013	0.0	0.0	3
1136	1162	1181	1211	1250	1421	AT1G14185	1.0	3.0	2.584962500721156	0.0	0.0	2.807354922057604	0.0	2.807354922057604	3
1170	1197	1218	1248	1287	1462	AT1G14540	0.0	0.0	2.584962500721156	2.584962500721156	1.0	0.0	2.0	3.4594316186372973	3
1221	1248	1271	1301	1342	1523	AT1G15085	3.169925001442312	0.0	3.169925001442312	2.3219280948873617	2.807354922057604	3.169925001442312	0.0	0.0	3
1251	1279	1303	1335	1376	1559	AT1G15415	0.0	0.0	1.0	3.4594316186372973	3.169925001442312	1.584962500721156	0.0	3.584962500721156	3
1265	1293	1319	1351	1392	1579	AT1G15625	1.0	1.0	2.584962500721156	0.0	2.3219280948873617	1.584962500721156	0.0	0.0	3
1332	1363	1390	1424	1467	1663	AT1G16440	0.0	1.584962500721156	2.0	0.0	3.0	1.0	1.584962500721156	0.0	3
1437	1470	1498	1533	1579	1786	AT1G17615	1.584962500721156	1.0	2.3219280948873617	0.0	1.0	0.0	2.3219280948873617	0.0	3
1530	1565	1595	1633	1684	1908	AT1G18835	0.0	1.584962500721156	1.0	2.584962500721156	0.0	1.0	0.0	4.459431618637297	3
1533	1568	1598	1636	1687	1911	AT1G18860	1.584962500721156	1.0	0.0	1.0	1.584962500721156	0.0	1.0	0.0	3
1588	1624	1659	1699	1752	1984	AT1G19550	0.0	1.0	1.0	2.584962500721156	0.0	1.0	0.0	3.169925001442312	3
1610	1646	1681	1721	1774	2006	AT1G19780	1.0	0.0	1.584962500721156	0.0	1.0	1.0	0.0	1.0	3
1632	1668	1703	1745	1799	2035	AT1G20080	0.0	1.0	1.584962500721156	2.3219280948873617	0.0	2.584962500721156	0.0	1.0	3
1676	1713	1748	1790	1847	2094	AT1G20680	0.0	1.0	1.0	3.0	0.0	0.0	1.0	4.169925001442312	3
1785	1824	1859	1904	1967	2253	AT1G22110	1.0	1.584962500721156	0.0	2.584962500721156	1.0	0.0	0.0	1.584962500721156	3
1795	1834	1869	1915	1979	2266	AT1G22240	1.0	0.0	1.584962500721156	0.0	2.3219280948873617	0.0	1.0	1.0	3
1857	1899	1934	1980	2049	2339	AT1G22990	1.0	0.0	2.3219280948873617	2.3219280948873617	0.0	0.0	3.0	4.087462841250339	3
1886	1928	1964	2011	2082	2380	AT1G23350	1.0	1.0	1.0	0.0	0.0	2.3219280948873617	1.0	0.0	3
1924	1966	2003	2051	2127	2442	AT1G23995	0.0	1.0	1.0	2.3219280948873617	0.0	0.0	1.584962500721156	1.0	3
1948	1991	2029	2078	2155	2478	AT1G24270	0.0	2.0	2.0	2.0	1.584962500721156	1.0	0.0	0.0	3
1963	2007	2046	2095	2174	2499	AT1G24475	1.584962500721156	2.0	0.0	0.0	2.3219280948873617	2.3219280948873617	1.584962500721156	0.0	3
2000	2046	2086	2136	2221	2573	AT1G25460	1.584962500721156	1.584962500721156	1.584962500721156	0.0	1.0	0.0	1.0	0.0	3
2051	2097	2137	2189	2278	2639	AT1G26590	1.0	1.584962500721156	0.0	2.584962500721156	2.0	1.0	0.0	0.0	3
2065	2111	2151	2203	2293	2657	AT1G26760	2.0	1.584962500721156	3.0	0.0	2.0	0.0	1.0	0.0	3
2110	2157	2199	2253	2346	2728	AT1G27380	1.0	1.0	1.0	0.0	0.0	1.584962500721156	1.584962500721156	0.0	3
2177	2224	2269	2325	2421	2821	AT1G28265	0.0	1.584962500721156	1.584962500721156	2.0	2.584962500721156	0.0	0.0	2.807354922057604	3
2194	2241	2286	2343	2441	2848	AT1G28470	1.584962500721156	2.3219280948873617	2.3219280948873617	0.0	1.584962500721156	0.0	1.0	0.0	3
2308	2357	2404	2462	2566	2998	AT1G30135	1.0	3.584962500721156	3.4594316186372973	0.0	3.807354922057604	0.0	5.044394119358453	0.0	3
2325	2374	2421	2480	2584	3018	AT1G30370	2.0	2.584962500721156	2.584962500721156	0.0	2.807354922057604	0.0	2.0	0.0	3
2411	2462	2513	2575	2684	3157	AT1G31720	1.584962500721156	1.0	2.3219280948873617	0.0	1.0	1.0	0.0	0.0	3
2497	2550	2603	2667	2778	3276	AT1G32910	1.0	1.0	1.0	0.0	4.584962500721156	0.0	3.169925001442312	0.0	3
2556	2611	2664	2730	2844	3367	AT1G33950	3.9068905956085187	2.0	2.3219280948873617	0.0	3.807354922057604	0.0	2.807354922057604	0.0	3
2613	2672	2725	2791	2908	3483	AT1G35290	0.0	2.3219280948873617	1.584962500721156	0.0	2.807354922057604	1.0	1.584962500721156	0.0	3
2639	2698	2753	2821	2941	3540	AT1G36060	1.0	2.3219280948873617	2.584962500721156	9.111135670234708	0.0	0.0	0.0	9.614709844115207	3
2667	2726	2785	2853	2974	3612	AT1G42560	0.0	2.0	2.3219280948873617	0.0	0.0	1.0	1.0	1.0	3
2682	2741	2800	2870	2992	3649	AT1G43640	2.0	0.0	2.0	3.3219280948873617	0.0	0.0	1.0	3.807354922057604	3
2716	2777	2836	2906	3031	3712	AT1G44830	2.0	0.0	2.0	3.169925001442312	1.0	0.0	0.0	1.0	3
2828	2895	2955	3029	3162	3902	AT1G48405	0.0	1.0	1.0	0.0	0.0	1.584962500721156	1.584962500721156	1.0	3
2933	3005	3067	3144	3282	4054	AT1G49910	1.0	2.3219280948873617	3.169925001442312	0.0	0.0	2.3219280948873617	1.0	0.0	3
2934	3006	3068	3145	3283	4055	AT1G49920	0.0	1.0	2.3219280948873617	2.0	2.0	0.0	2.0	0.0	3
3110	3188	3257	3341	3484	4321	AT1G52560	0.0	1.584962500721156	2.584962500721156	0.0	1.0	3.4594316186372973	0.0	1.584962500721156	3
3198	3277	3347	3432	3577	4430	AT1G53540	0.0	2.584962500721156	1.0	1.0	1.584962500721156	0.0	3.4594316186372973	0.0	3
3256	3337	3409	3495	3649	4519	AT1G54280	0.0	0.0	1.0	1.584962500721156	1.584962500721156	1.0	0.0	1.0	3
3360	3444	3520	3614	3774	4675	AT1G55770	1.0	0.0	3.169925001442312	0.0	3.3219280948873617	2.807354922057604	1.0	0.0	3
3505	3593	3671	3772	3939	4894	AT1G59359	0.0	0.0	1.0	1.584962500721156	1.0	1.0	0.0	1.584962500721156	3
3586	3675	3756	3857	4030	5028	AT1G60830	0.0	2.807354922057604	1.0	1.0	2.0	0.0	1.0	0.0	3
3653	3745	3830	3934	4110	5133	AT1G61710	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	3
3686	3778	3863	3967	4144	5178	AT1G62190	2.3219280948873617	1.0	3.9068905956085187	0.0	1.0	2.807354922057604	0.0	0.0	3
3760	3853	3939	4044	4227	5278	AT1G63100	3.0	2.807354922057604	3.169925001442312	0.0	2.584962500721156	2.807354922057604	0.0	0.0	3
3798	3891	3979	4084	4270	5331	AT1G63580	0.0	4.247927513443585	3.9068905956085187	0.0	2.0	3.0	4.0	0.0	3
3900	3995	4085	4192	4386	5463	AT1G64820	1.0	1.0	1.0	0.0	2.584962500721156	0.0	0.0	1.584962500721156	3
3964	4061	4154	4261	4461	5562	AT1G65710	2.0	0.0	2.807354922057604	1.0	1.584962500721156	2.0	0.0	0.0	3
3983	4080	4174	4282	4483	5587	AT1G65970	0.0	2.0	2.3219280948873617	10.427312844134963	1.584962500721156	0.0	0.0	11.723660944409986	3
3987	4084	4179	4287	4488	5597	AT1G66060	0.0	0.0	1.0	2.0	2.0	0.0	1.584962500721156	3.700439718141092	3
3996	4093	4188	4296	4497	5609	AT1G66170	1.584962500721156	1.584962500721156	1.584962500721156	0.0	1.0	0.0	0.0	2.0	3
4008	4105	4200	4308	4510	5632	AT1G66370	1.0	1.584962500721156	1.0	0.0	1.0	0.0	1.0	0.0	3
4009	4106	4201	4309	4511	5633	AT1G66380	0.0	2.0	1.0	0.0	2.807354922057604	1.0	1.0	0.0	3
4014	4111	4206	4314	4517	5640	AT1G66450	1.0	1.0	1.584962500721156	0.0	0.0	1.584962500721156	1.0	0.0	3
4025	4122	4217	4326	4530	5656	AT1G66600	3.700439718141092	4.754887502163468	0.0	0.0	5.0	0.0	3.700439718141092	1.0	3
4031	4128	4223	4332	4537	5665	AT1G66690	1.0	2.3219280948873617	0.0	2.584962500721156	0.0	0.0	1.0	2.0	3
4041	4138	4233	4343	4550	5683	AT1G66870	2.584962500721156	3.3219280948873617	1.584962500721156	0.0	3.0	0.0	2.584962500721156	0.0	3
4068	4166	4263	4374	4581	5722	AT1G67260	0.0	2.807354922057604	2.3219280948873617	0.0	1.584962500721156	2.0	1.0	0.0	3
4110	4208	4306	4420	4630	5778	AT1G67780	1.0	1.0	1.0	0.0	2.3219280948873617	1.584962500721156	0.0	0.0	3
4154	4252	4352	4467	4680	5830	AT1G68240	1.0	1.0	2.584962500721156	0.0	0.0	2.807354922057604	1.584962500721156	0.0	3
4203	4302	4404	4519	4732	5892	AT1G68800	0.0	4.459431618637297	2.3219280948873617	0.0	0.0	1.584962500721156	2.0	2.0	3
4294	4394	4497	4615	4831	6010	AT1G69880	0.0	1.584962500721156	1.0	3.584962500721156	0.0	1.0	0.0	4.321928094887364	3
4310	4410	4514	4632	4848	6033	AT1G70130	1.0	1.0	1.584962500721156	0.0	0.0	0.0	1.584962500721156	1.0	3
4314	4414	4518	4636	4852	6037	AT1G70170	1.584962500721156	2.3219280948873617	1.0	1.584962500721156	1.584962500721156	0.0	0.0	0.0	3
4352	4453	4559	4677	4898	6088	AT1G70640	3.807354922057604	3.0	1.584962500721156	0.0	3.3219280948873617	0.0	1.584962500721156	0.0	3
4380	4481	4588	4706	4929	6127	AT1G71000	0.0	1.0	1.0	0.0	1.0	1.0	1.584962500721156	0.0	3
4406	4507	4614	4734	4959	6159	AT1G71300	1.0	1.584962500721156	1.0	0.0	2.0	0.0	1.0	0.0	3
4445	4547	4654	4775	5001	6209	AT1G71890	1.0	2.0	0.0	0.0	1.0	1.584962500721156	2.0	0.0	3
4448	4550	4657	4778	5004	6213	AT1G71930	1.0	2.0	1.584962500721156	0.0	0.0	1.584962500721156	2.0	0.0	3
