	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
47	47	48	49	55	AT1G01530	2.3219280948873617	2.0	2.3219280948873617	0.0	2.3219280948873617	0.0	0.0	0.0	4
97	97	98	99	106	AT1G02040	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	4
143	144	145	149	160	AT1G02530	0.0	1.0	1.0	2.3219280948873617	0.0	1.0	0.0	0.0	4
145	146	147	152	166	AT1G02580	1.0	0.0	0.0	1.584962500721156	1.0	0.0	0.0	1.0	4
161	163	164	170	187	AT1G02800	1.584962500721156	0.0	0.0	1.584962500721156	1.584962500721156	1.0	0.0	0.0	4
223	225	229	236	261	AT1G03445	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	4
267	269	274	281	312	AT1G03980	0.0	2.5849625007211556	2.3219280948873617	0.0	1.584962500721156	0.0	1.0	0.0	4
311	313	319	326	359	AT1G04445	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	4
348	352	358	366	406	AT1G04880	0.0	0.0	2.807354922057604	0.0	2.0	1.584962500721156	0.0	1.0	4
400	406	414	423	472	AT1G05450	2.3219280948873617	0.0	0.0	2.807354922057604	0.0	0.0	1.0	2.807354922057604	4
456	465	476	486	544	AT1G06090	2.0	1.584962500721156	2.0	0.0	0.0	1.584962500721156	0.0	0.0	4
656	667	682	701	787	AT1G08320	1.584962500721156	0.0	1.0	2.0	0.0	0.0	0.0	3.8073549220576037	4
727	738	753	774	868	AT1G09155	1.0	1.584962500721156	2.807354922057604	0.0	0.0	1.0	0.0	0.0	4
774	787	803	827	927	AT1G09650	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	4
797	810	827	852	954	AT1G09880	1.0	0.0	3.0	0.0	1.584962500721156	0.0	1.0	0.0	4
868	884	903	930	1038	AT1G10640	1.584962500721156	0.0	1.584962500721156	0.0	1.0	1.0	0.0	0.0	4
938	955	976	1005	1126	AT1G11450	2.0	0.0	0.0	2.807354922057604	2.0	0.0	0.0	2.5849625007211556	4
998	1015	1040	1074	1215	AT1G12211	0.0	1.0	0.0	1.0	1.584962500721156	1.0	0.0	0.0	4
1031	1048	1074	1109	1252	AT1G12570	4.087462841250339	0.0	1.0	0.0	0.0	1.0	1.0	0.0	4
1034	1051	1077	1112	1255	AT1G12610	0.0	2.5849625007211556	1.0	0.0	1.0	0.0	3.8073549220576037	0.0	4
1057	1074	1101	1136	1284	AT1G12855	1.584962500721156	0.0	0.0	1.584962500721156	0.0	1.0	0.0	2.5849625007211556	4
1065	1082	1110	1145	1294	AT1G12950	0.0	1.0	1.0	0.0	0.0	0.0	1.584962500721156	1.0	4
1088	1105	1133	1169	1322	AT1G13230	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	4
1104	1121	1149	1185	1341	AT1G13420	1.584962500721156	3.169925001442312	3.4594316186372973	0.0	0.0	2.0	0.0	0.0	4
1122	1141	1171	1208	1371	AT1G13670	0.0	1.0	1.584962500721156	4.6438561897747235	0.0	0.0	0.0	4.247927513443585	4
1156	1175	1205	1243	1414	AT1G14120	0.0	1.0	1.0	0.0	1.0	0.0	1.584962500721156	0.0	4
1189	1210	1240	1279	1453	AT1G14455	1.584962500721156	2.0	0.0	0.0	0.0	2.0	1.0	0.0	4
1275	1299	1331	1372	1554	AT1G15380	0.0	0.0	1.584962500721156	9.507794640198696	2.0	0.0	0.0	9.778077129535358	4
1336	1363	1397	1438	1632	AT1G16120	1.0	0.0	0.0	2.0	1.584962500721156	0.0	1.0	0.0	4
1339	1366	1400	1441	1635	AT1G16160	1.0	0.0	1.584962500721156	0.0	1.584962500721156	0.0	1.0	0.0	4
1353	1380	1414	1457	1652	AT1G16330	0.0	2.3219280948873617	3.700439718141092	0.0	2.0	2.807354922057604	0.0	0.0	4
1441	1468	1503	1547	1752	AT1G17285	0.0	1.0	0.0	1.0	2.3219280948873617	1.0	0.0	0.0	4
1463	1491	1526	1572	1778	AT1G17540	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	4
1518	1547	1585	1634	1852	AT1G18290	1.0	1.584962500721156	0.0	2.0	0.0	0.0	0.0	2.3219280948873617	4
1524	1553	1591	1640	1859	AT1G18350	0.0	0.0	1.0	6.3923174227787625	1.0	0.0	0.0	6.189824558880018	4
1577	1608	1646	1698	1924	AT1G18990	0.0	0.0	1.0	3.169925001442312	0.0	1.0	0.0	2.5849625007211556	4
