	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
113	114	116	124	AT1G02190	2.0	1.0	3.807354922057604	0.0	0.0	0.0	0.0	0.0	5
149	150	155	170	AT1G02630	0.0	1.584962500721156	1.0	0.0	0.0	1.0	0.0	0.0	5
331	337	345	383	AT1G04645	1.584962500721156	1.584962500721156	0.0	0.0	1.0	0.0	0.0	0.0	5
341	347	355	395	AT1G04778	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.584962500721156	5
378	385	394	438	AT1G05136	0.0	0.0	0.0	0.0	1.584962500721156	1.0	0.0	1.584962500721156	5
390	397	406	452	AT1G05260	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	5
425	435	444	498	AT1G05680	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.584962500721156	5
427	437	446	500	AT1G05700	0.0	0.0	2.0	1.584962500721156	0.0	0.0	0.0	3.169925001442312	5
459	470	480	537	AT1G06030	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	5
490	501	512	580	AT1G06420	1.584962500721156	0.0	1.0	0.0	0.0	1.0	0.0	0.0	5
540	552	565	634	AT1G06970	0.0	0.0	1.0	0.0	1.584962500721156	1.0	0.0	0.0	5
741	756	777	872	AT1G09176	0.0	2.584962500721156	2.3219280948873617	0.0	0.0	0.0	1.584962500721156	0.0	5
781	797	821	920	AT1G09600	1.584962500721156	0.0	1.584962500721156	0.0	0.0	1.584962500721156	0.0	0.0	5
817	834	859	961	AT1G09935	1.584962500721156	2.0	0.0	0.0	1.0	0.0	0.0	0.0	5
844	861	886	990	AT1G10220	1.0	0.0	0.0	2.3219280948873617	1.584962500721156	0.0	0.0	0.0	5
845	862	887	991	AT1G10225	0.0	0.0	0.0	5.087462841250339	1.0	0.0	0.0	3.3219280948873617	5
935	955	983	1104	AT1G11250	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.584962500721156	5
1135	1165	1202	1363	AT1G13608	2.0	0.0	1.0	0.0	0.0	1.584962500721156	0.0	0.0	5
1138	1168	1205	1368	AT1G13635	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	5
1187	1217	1256	1428	AT1G14240	0.0	0.0	2.0	1.0	0.0	1.584962500721156	0.0	0.0	5
1206	1236	1275	1448	AT1G14420	0.0	0.0	1.0	2.584962500721156	1.584962500721156	0.0	0.0	0.0	5
1242	1272	1312	1490	AT1G14760	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	5
1259	1289	1329	1507	AT1G14930	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	5
1295	1327	1368	1549	AT1G15330	0.0	0.0	0.0	2.584962500721156	1.0	0.0	0.0	4.321928094887364	5
1314	1346	1387	1571	AT1G15540	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	5
1318	1350	1391	1578	AT1G15620	0.0	1.584962500721156	0.0	0.0	1.584962500721156	2.0	0.0	0.0	5
1355	1389	1430	1623	AT1G16022	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	5
1476	1511	1557	1763	AT1G17400	0.0	1.0	0.0	0.0	0.0	0.0	1.584962500721156	1.584962500721156	5
1526	1562	1608	1819	AT1G17950	2.3219280948873617	0.0	0.0	0.0	0.0	1.0	1.0	0.0	5
1568	1606	1656	1877	AT1G18530	0.0	1.0	0.0	0.0	1.584962500721156	0.0	0.0	1.0	5
1600	1638	1689	1913	AT1G18871	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	5
1618	1656	1708	1938	AT1G19115	0.0	0.0	0.0	3.9068905956085187	1.0	0.0	0.0	3.0	5
1637	1675	1727	1958	AT1G19320	0.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	5
1654	1694	1747	1979	AT1G19500	0.0	1.584962500721156	2.3219280948873617	0.0	0.0	1.0	0.0	0.0	5
1657	1697	1750	1982	AT1G19530	0.0	0.0	1.584962500721156	9.970105890612182	0.0	0.0	0.0	10.703038388986418	5
1954	2001	2070	2364	AT1G23201	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	5
1980	2028	2101	2403	AT1G23600	0.0	1.0	1.584962500721156	0.0	1.0	0.0	0.0	0.0	5
2013	2062	2138	2457	AT1G24130	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	5
2034	2083	2160	2483	AT1G24320	0.0	2.0	0.0	3.0	1.584962500721156	0.0	0.0	0.0	5
2063	2112	2195	2536	AT1G25097	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.3219280948873617	5
2153	2205	2295	2659	AT1G26762	1.0	0.0	2.584962500721156	0.0	0.0	2.0	0.0	0.0	5
2178	2232	2324	2698	AT1G27080	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	5
2230	2284	2377	2767	AT1G27710	0.0	2.3219280948873617	0.0	1.0	1.0	0.0	0.0	0.0	5
2239	2294	2387	2778	AT1G27860	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5
2254	2310	2405	2801	AT1G28080	0.0	0.0	0.0	1.584962500721156	0.0	1.0	0.0	2.0	5
2344	2401	2501	2925	AT1G29435	0.0	0.0	1.0	0.0	0.0	1.0	1.584962500721156	0.0	5
2354	2411	2512	2937	AT1G29535	0.0	0.0	0.0	0.0	1.584962500721156	0.0	1.0	1.0	5
2448	2508	2612	3050	AT1G30660	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	5
2456	2517	2621	3062	AT1G30760	0.0	2.3219280948873617	1.0	0.0	0.0	1.0	0.0	0.0	5
2462	2523	2627	3073	AT1G30850	0.0	1.0	2.0	0.0	2.3219280948873617	0.0	0.0	0.0	5
2472	2533	2638	3092	AT1G31040	1.0	1.584962500721156	0.0	0.0	0.0	0.0	1.0	0.0	5
2598	2662	2773	3271	AT1G32850	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	5
2601	2665	2776	3274	AT1G32880	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	5
2741	2808	2928	3517	AT1G35625	1.584962500721156	1.584962500721156	0.0	1.0	0.0	0.0	0.0	0.0	5
2742	2809	2929	3518	AT1G35630	1.0	0.0	1.0	0.0	0.0	1.584962500721156	0.0	0.0	5
