	Unnamed: 0	Unnamed: 0.1	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
28	29	31	AT1G01310	0.0	0.0	0.0	4.807354922057604	0.0	0.0	0.0	1.0	6
165	171	188	AT1G02810	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	6
188	194	215	AT1G03050	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	6
196	202	225	AT1G03120	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	6
257	264	292	AT1G03790	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.5849625007211556	6
311	318	351	AT1G04370	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	6
380	389	432	AT1G05080	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	6
402	411	460	AT1G05330	0.0	1.584962500721156	2.807354922057604	0.0	0.0	0.0	0.0	0.0	6
420	429	479	AT1G05530	0.0	0.0	0.0	1.584962500721156	0.0	0.0	0.0	1.0	6
426	435	485	AT1G05577	0.0	0.0	0.0	1.584962500721156	0.0	1.0	0.0	0.0	6
448	457	512	AT1G05800	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	6
549	561	630	AT1G06925	0.0	0.0	1.0	0.0	1.584962500721156	0.0	0.0	0.0	6
633	651	731	AT1G07850	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	6
649	667	748	AT1G07985	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.906890595608519	6
652	670	751	AT1G08005	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	6
775	797	895	AT1G09380	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6
825	850	952	AT1G09860	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6
868	893	998	AT1G10300	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	6
879	904	1010	AT1G10400	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	6
941	968	1086	AT1G11080	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	6
968	996	1117	AT1G11362	0.0	0.0	0.0	2.3219280948873617	0.0	0.0	0.0	4.169925001442312	6
985	1015	1140	AT1G11572	0.0	0.0	2.5849625007211556	0.0	0.0	1.584962500721156	0.0	0.0	6
990	1020	1151	AT1G11655	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	6
994	1024	1156	AT1G11690	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	6
1032	1066	1203	AT1G12100	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	6
1054	1088	1229	AT1G12340	0.0	0.0	0.0	0.0	1.0	0.0	1.584962500721156	0.0	6
1082	1117	1263	AT1G12665	0.0	1.0	0.0	1.584962500721156	0.0	0.0	0.0	0.0	6
1104	1139	1288	AT1G12890	0.0	2.3219280948873617	2.0	0.0	0.0	0.0	0.0	0.0	6
1163	1199	1360	AT1G13600	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	6
1164	1201	1362	AT1G13607	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6
1315	1356	1537	AT1G15210	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6
1326	1367	1548	AT1G15320	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	6
1362	1403	1595	AT1G15772	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	6
1370	1411	1603	AT1G15840	0.0	0.0	0.0	3.169925001442312	0.0	0.0	0.0	3.584962500721156	6
1447	1490	1686	AT1G16705	0.0	1.584962500721156	0.0	0.0	2.3219280948873617	0.0	0.0	0.0	6
1550	1596	1806	AT1G17810	0.0	0.0	0.0	5.1292830169449655	0.0	0.0	0.0	3.700439718141092	6
1568	1614	1829	AT1G18050	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	6
1578	1625	1843	AT1G18197	0.0	0.0	0.0	0.0	1.584962500721156	0.0	0.0	2.3219280948873617	6
1682	1734	1965	AT1G19390	0.0	0.0	0.0	4.857980995127573	0.0	0.0	0.0	3.3219280948873617	6
1690	1743	1975	AT1G19470	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	6
1723	1777	2009	AT1G19830	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	6
1743	1797	2033	AT1G20065	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	6
1794	1852	2100	AT1G20700	1.0	0.0	1.584962500721156	0.0	0.0	0.0	0.0	0.0	6
1796	1854	2105	AT1G20740	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6
1896	1959	2240	AT1G22000	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	6
1905	1969	2255	AT1G22130	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.3219280948873617	6
1988	2057	2348	AT1G23070	0.0	0.0	1.584962500721156	0.0	0.0	1.0	0.0	0.0	6
