	Unnamed: 0	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
14	14	AT1G01150	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
102	109	AT1G02065	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	7
120	129	AT1G02250	2.807354922057604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7
146	156	AT1G02490	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7
151	164	AT1G02570	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7
163	178	AT1G02705	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
215	238	AT1G03240	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7
337	374	AT1G04580	0.0	0.0	0.0	0.0	1.584962500721156	0.0	0.0	0.0	7
384	427	AT1G05040	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
476	533	AT1G05990	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7
489	549	AT1G06135	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7
560	628	AT1G06920	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7
562	631	AT1G06930	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
570	640	AT1G07025	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	7
612	685	AT1G07460	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
617	691	AT1G07490	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
622	696	AT1G07540	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	7
631	707	AT1G07645	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7
681	764	AT1G08120	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
711	798	AT1G08440	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7
769	863	AT1G09090	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7
787	883	AT1G09260	0.0	0.0	0.0	0.0	0.0	1.584962500721156	0.0	0.0	7
809	907	AT1G09483	0.0	0.0	1.584962500721156	0.0	0.0	0.0	0.0	0.0	7
812	910	AT1G09510	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
833	934	AT1G09720	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7
909	1015	AT1G10455	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
928	1036	AT1G10620	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7
971	1090	AT1G11112	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7
997	1118	AT1G11370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.584962500721156	7
1013	1138	AT1G11560	0.0	0.0	0.0	0.0	0.0	1.584962500721156	0.0	0.0	7
1033	1166	AT1G11770	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
1038	1171	AT1G11810	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7
1060	1196	AT1G12040	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7
1063	1200	AT1G12070	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7
1107	1249	AT1G12540	0.0	0.0	0.0	0.0	0.0	0.0	1.584962500721156	0.0	7
1166	1319	AT1G13200	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
1200	1361	AT1G13605	0.0	1.584962500721156	0.0	0.0	0.0	0.0	0.0	0.0	7
1220	1388	AT1G13825	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	7
1247	1418	AT1G14160	0.0	0.0	0.0	1.584962500721156	0.0	0.0	0.0	0.0	7
1304	1481	AT1G14688	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7
1335	1516	AT1G15015	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	7
1447	1642	AT1G16230	1.584962500721156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7
1453	1648	AT1G16290	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
1535	1740	AT1G17180	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7
1549	1754	AT1G17300	1.584962500721156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7
1552	1758	AT1G17345	0.0	0.0	0.0	4.584962500721156	0.0	0.0	0.0	0.0	7
1624	1842	AT1G18193	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7
1628	1846	AT1G18220	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7
1633	1851	AT1G18280	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7
1653	1872	AT1G18486	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7
1680	1903	AT1G18780	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
1697	1923	AT1G18980	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7
1739	1970	AT1G19410	0.0	0.0	0.0	1.584962500721156	0.0	0.0	0.0	0.0	7
1775	2007	AT1G19790	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
1807	2046	AT1G20180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.584962500721156	7
1822	2066	AT1G20400	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
1831	2076	AT1G20500	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7
1848	2096	AT1G20687	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
1858	2111	AT1G20795	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7
1878	2136	AT1G20990	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7
1899	2158	AT1G21245	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7
1951	2221	AT1G21850	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7
