	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
27	AT1G01280	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
30	AT1G01305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
33	AT1G01335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
41	AT1G01400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
42	AT1G01410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
48	AT1G01460	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
100	AT1G01980	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
110	AT1G02067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
126	AT1G02210	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
137	AT1G02320	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
158	AT1G02510	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
161	AT1G02540	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
162	AT1G02550	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
165	AT1G02575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
167	AT1G02590	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
179	AT1G02710	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
186	AT1G02790	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
189	AT1G02813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
192	AT1G02830	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
206	AT1G02965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
208	AT1G02980	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
222	AT1G03103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
223	AT1G03106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
247	AT1G03325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
256	AT1G03395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
265	AT1G03490	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
283	AT1G03700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
285	AT1G03720	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
294	AT1G03810	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
301	AT1G03880	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
302	AT1G03890	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
313	AT1G03982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
330	AT1G04150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
360	AT1G04450	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
361	AT1G04455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
362	AT1G04470	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
372	AT1G04560	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
377	AT1G04610	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
385	AT1G04660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
386	AT1G04670	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
407	AT1G04890	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
408	AT1G04895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
422	AT1G05005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
433	AT1G05085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
450	AT1G05240	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
451	AT1G05250	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
454	AT1G05280	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
455	AT1G05290	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
456	AT1G05291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
477	AT1G05510	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
486	AT1G05580	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
490	AT1G05615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
494	AT1G05650	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
495	AT1G05660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
504	AT1G05740	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
527	AT1G05920	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
528	AT1G05930	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
543	AT1G06080	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
545	AT1G06100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
547	AT1G06120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
550	AT1G06137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
562	AT1G06225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
568	AT1G06280	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
570	AT1G06310	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
571	AT1G06320	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
572	AT1G06330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
573	AT1G06340	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
574	AT1G06350	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
629	AT1G06923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
636	AT1G06990	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
656	AT1G07175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
658	AT1G07190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
673	AT1G07340	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
688	AT1G07476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
697	AT1G07550	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
698	AT1G07560	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
711	AT1G07680	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
712	AT1G07690	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
721	AT1G07747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
726	AT1G07795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
732	AT1G07860	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
758	AT1G08065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
762	AT1G08100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
767	AT1G08135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
768	AT1G08140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
769	AT1G08150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
797	AT1G08430	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
820	AT1G08645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
823	AT1G08670	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
825	AT1G08695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
834	AT1G08790	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
852	AT1G08985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
853	AT1G08990	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
857	AT1G09030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
869	AT1G09157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
881	AT1G09245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
893	AT1G09360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
894	AT1G09370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
914	AT1G09550	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
923	AT1G09625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
929	AT1G09665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
941	AT1G09790	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
969	AT1G10010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
987	AT1G10190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
994	AT1G10250	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1007	AT1G10385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1018	AT1G10480	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1032	AT1G10588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1043	AT1G10680	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1046	AT1G10710	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1047	AT1G10715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1048	AT1G10717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1052	AT1G10745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1053	AT1G10747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1067	AT1G10875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1068	AT1G10880	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1078	AT1G10980	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1082	AT1G11040	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1089	AT1G11110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1094	AT1G11145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1102	AT1G11230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1127	AT1G11460	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
