	count	mean	std	min	25%	50%	75%	max
SRR3383640	24326.0	5.592547889367725	3.545988627081408	0.0	2.3219280948873617	6.459431618637298	8.379378367071261	17.227296295103052
SRR3383821	24326.0	5.818756451758075	3.688398683083698	0.0	2.584962500721156	6.7414669864011465	8.710806433699354	17.17939402746687
SRR3383782	24326.0	6.481623526673345	3.9251871542224146	0.0	3.169925001442312	7.491853096329675	9.503825737995749	19.33362053397145
SRR6283145	24326.0	6.033723138060471	3.9372209539598773	0.0	2.3219280948873617	7.055282435501192	9.172427508645482	17.106450481091255
SRR3383641	24326.0	6.389136847750227	3.899487456239207	0.0	3.0	7.4998458870832065	9.457380879072533	18.265074740410657
SRR3383783	24326.0	5.618300284187024	3.6628467167197423	0.0	2.3219280948873617	6.475733430966398	8.491853096329674	18.26820844450981
SRR3383822	24326.0	5.310808758339145	3.495312651011482	0.0	2.0	6.129283016944966	8.055282435501187	16.795786019502007
SRR6283144	24326.0	5.991117927925236	3.963608436127111	0.0	2.0	6.894817763307944	9.152284842306582	18.067208501808
SRR364399	24326.0	5.400369870273892	3.4832651925584694	0.0	2.3219280948873617	6.0443941193584525	8.124121311829187	16.12218090125975
SRR6283148	24326.0	3.4810138751561692	3.3387052602102862	0.0	0.0	2.807354922057604	6.066089190457772	16.665294274755347
SRR6283147	24326.0	3.5500601737108544	3.3767117552945853	0.0	0.0	2.807354922057604	6.129283016944966	16.79607764338467
SRR3383696	24326.0	5.694844088344179	3.638558488089922	0.0	2.3219280948873617	6.643856189774724	8.539158811108031	17.584786379736883
SRR3383780	24326.0	5.699341814778967	3.698496926514103	0.0	2.3219280948873617	6.6293566200796095	8.632995197142957	17.338092178481546
SRR10586397pe	24326.0	6.663777716735168	3.571156628649085	0.0	4.169925001442312	7.459431618637298	9.368506461507694	17.46549466363738
SRR10586399pe	24326.0	6.602346176489342	3.5773678284311	0.0	4.087462841250339	7.383704292474053	9.324180546618742	17.605956903531055
SRR3383779	24326.0	5.370011517209572	3.5354496237434514	0.0	2.0	6.169925001442312	8.159871336778389	17.30761885400159
SRR3383697	24326.0	5.892931862271017	3.724738080415263	0.0	2.584962500721156	6.8826430493618425	8.800899899920305	17.972749860653227
SRR364390	24326.0	5.639425935069768	3.537533753146461	0.0	2.3219280948873617	6.523561956057013	8.422064766172811	17.189023396772658
SRR364389	24326.0	5.659396460356713	3.5386219957715275	0.0	2.584962500721156	6.554588851677637	8.442943495848729	17.207900856629784
SRR364398	24326.0	5.39855218847461	3.4840376563250217	0.0	2.3219280948873617	6.0223678130284535	8.133140494401939	16.12724876816099
zero-counter	24326.0	3.4685932746855217	6.0741952643481065	0.0	0.0	0.0	3.0	19.0
