Entry Entry name Gene names_(primary_)
Q39026 MPK6_ARATH MPK6 395 Mitogen-activated_protein_kinase
Q39023 MPK3_ARATH MPK3 370 Mitogen-activated_protein_kinase
Q94A06 M2K1_ARATH MKK1 354 Mitogen-activated_protein_kinase
Q9S7U9 M2K2_ARATH MKK2 363 Mitogen-activated_protein_kinase
Q39024 MPK4_ARATH MPK4 376 Mitogen-activated_protein_kinase
Q9FJV0 M2K6_ARATH MKK6 356 Mitogen-activated_protein_kinase
Q700C7 SPCH_ARATH SPCH 364 Transcription_factor_SPEECHLESS
Q8RXG3 M2K5_ARATH MKK5 348 Mitogen-activated_protein_kinase
O80397 M2K4_ARATH MKK4 366 Mitogen-activated_protein_kinase
Q9LPQ3 M2K7_ARATH MKK7 307 Mitogen-activated_protein_kinase
O80396 M2K3_ARATH MKK3 520 Mitogen-activated_protein_kinase
O64903 NDK2_ARATH NDPK2 231 Nucleoside_diphosphate_kinase
Q9CAD5 YODA_ARATH YDA 883 Mitogen-activated_protein_kinase
Q8S8P5 WRK33_ARATH WRKY33 519 Probable_WRKY_transcription
Q39027 MPK7_ARATH MPK7 368 Mitogen-activated_protein_kinase
Q9LMM5 MPK11_ARATH MPK11 369 Mitogen-activated_protein_kinase
Q9M1Z5 MPK10_ARATH MPK10 393 Mitogen-activated_protein_kinase
Q9C9U4 MPK15_ARATH MPK15 576 Mitogen-activated_protein_kinase
O23236 MPK14_ARATH MPK14 361 Mitogen-activated_protein_kinase
