Entry Entry name Gene names_(primary_)
Q9FL28 FLS2_ARATH FLS2 1173 LRR_receptor-like_serine/threonine-protein
Q94F62 BAK1_ARATH BAK1 615 BRASSINOSTEROID_INSENSITIVE_1-associated
O48814 BIK1_ARATH BIK1 395 Serine/threonine-protein_kinase_BIK1
Q7XV05 SERK2_ORYSJ SERK2 628 LRR_receptor_kinase
Q9FE20 PBS1_ARATH PBS1 456 Serine/threonine-protein_kinase_PBS1
Q9SF86 PCRK1_ARATH PCRK1 418 Serine/threonine-protein_kinase_PCRK1
Q9FIJ0 RBOHD_ARATH RBOHD 921 Respiratory_burst_oxidase
Q39008 M3K1_ARATH MEKK1 608 Mitogen-activated_protein_kinase
Q39026 MPK6_ARATH MPK6 395 Mitogen-activated_protein_kinase
Q39023 MPK3_ARATH MPK3 370 Mitogen-activated_protein_kinase
Q03250 RBG7_ARATH RBG7 176 Glycine-rich_RNA-binding_protein
D0NPN8 A3AEM_PHYIT Avr3a 147 RxLR_effector_protein
E2DWQ7 A3AKI_PHYIN Avr3a 147 RxLR_effector_protein
Q572D3 A3AEM_PHYIN Avr3a 147 RxLR_effector_protein
Q8RXG3 M2K5_ARATH MKK5 348 Mitogen-activated_protein_kinase
Q9M0G7 MIK1_ARATH MIK1 1013 MDIS1-interacting_receptor_like
O80397 M2K4_ARATH MKK4 366 Mitogen-activated_protein_kinase
Q79LY0 HOPD2_PSESM hopD2 468 Effector_protein_hopD2
Q9FN05 PSL5_ARATH PSL5 921 Probable_glucan_1,3-alpha-glucosidase
Q9FM96 PSL4_ARATH PSL4 647 Glucosidase_2_subunit
A0A443PSP2 A0A443PSP2_9MAGN 570 LRR receptor-like_serine/threonine-protein_kinase
A0A3S4P586 A0A3S4P586_9MAGN 1171 LRR receptor-like_serine/threonine-protein_kinase
A0A3S3N839 A0A3S3N839_9MAGN 947 LRR receptor-like_serine/threonine-protein_kinase
A0A3S3QCG3 A0A3S3QCG3_9MAGN 974 LRR receptor-like_serine/threonine-protein_kinase
A0A3S3NGP6 A0A3S3NGP6_9MAGN 185 LRR receptor-like_serine/threonine-protein_kinase
A0A3S3NA51 A0A3S3NA51_9MAGN 965 LRR receptor-like_serine/threonine-protein_kinase
A0A5B9Y2H0 A0A5B9Y2H0_AQUCA 668 FLS2 (Fragment)__
A0A5B9Y3Y5 A0A5B9Y3Y5_PANVG 633 FLS2-1 (Fragment)__
A0A5B9Y299 A0A5B9Y299_PANVG 633 FLS2-2 (Fragment)__
A0A5B9Y1E4 A0A5B9Y1E4_9ROSI 635 FLS2 (Fragment)__
A0A5B9Y1Q2 A0A5B9Y1Q2_ANACO 697 FLS2 (Fragment)__
A0A3S3MLL1 A0A3S3MLL1_9MAGN 428 LRR receptor-like_serine/threonine-protein_kinase
A0A443PMB7 A0A443PMB7_9MAGN 293 LRR receptor-like_serine/threonine-protein_kinase
A0A5B9Y1J1 A0A5B9Y1J1_9MAGN 632 FLS2 (Fragment)__
A0A443Q4M7 A0A443Q4M7_9MAGN 954 LRR receptor-like_serine/threonine-protein_kinase
A0A443PLY1 A0A443PLY1_9MAGN 493 LRR receptor-like_serine/threonine-protein_kinase
